,Unnamed: 0,tweet,label
0,0,horse face hoe stop playing before i show the world yo lil ugly ass,1
1,1,alex brosas another idiot,1
2,2,as nancy reagan would say just say fucking no or something like that,1
3,3,not being homophobic here but uhhhhhhhhhhh i think the fuck not you trick ass bitch,1
4,4,the nazi death gas so horrific even hitler feared using it,0
5,5,i hate er chase because if the bitch that works there she s literally evil,1
6,6,blowjobs muslims girls gets fucked,1
7,7,don t hmu when u get tired of ur boring hoe ur boring now too,1
8,8,sick of bitches on the internet,1
9,9,brunette babe beverly riding a brutal anal dildo,1
10,10,man you feminist are annoying maybe if you bitches stop beating your cunts uselessly,1
11,11,can t even feel bad for females who are stuck on a nigga that disrespects them you gon learn sis,1
12,12,pineapples do not belong on pizza y all niggas are nasty,1
13,13,i hate how some of u ignore the fact that ur nigga cheated bc he wanted to not bc some girl didn t care that he had a,1
14,14,how does anyone still watch the idiots on the view,1
15,15,this idiot is a piss ant,1
16,16,but he still with the shits so he started smoking and drinking bad combo probably looking like,1
17,17,april fools fucking if you ain t feeling this than you have rigor mortis dummy,1
18,18,you re fucking idiots but you must get that a lot,1
19,19,with a fucking pencil,1
20,20,not having access to my money is fucking pissing me off,1
21,21,niggas keep talking about women wearing weave but be sick when a bitch up a fro on they ass,1
22,22,god you re fucking pathetic,1
23,23,even in victory you re the fucking god damn worst,1
24,24,girl rides a cock real dirty,1
25,25,i hate that i get mad when my bf goes to sleep bc i have no one to talk to but bitch ya baby boy trynna get some rest stop,1
26,26,you worried about somebody bein ugly bitch you ugly,1
27,27,carlos correa had gyalchester as his walkup music and it was so bad ass,0
28,28,don t worry don t be afraid ever because this is just a ride _bill hicks,0
29,29,damn all my mama say is you not too sick to be on that damn phone,1
30,30,damn dean just put corbin to sleep that match also showed why it was on pre show boring as fuck,1
31,31,the force awakens a bad lip reading featuring mark hamill as han solo,0
32,32,i hate a ol i forgot my wallet at home but i have my id ass bitch,1
33,33,idiot that s not gonna work you gotta put flame stickers on it to make it go faster,1
34,34,he s a hyperbolic idiot who loves his got theme music,1
35,35,swear if this isn t the fucking truth smh,1
36,36,i just want to cry so fucking bad look at them,1
37,37,dont you fucking hate it when you hear my name ,1
38,38,them people who mad and act like they dont know why you cut the ass off   ,1
39,39,your friend needed help buying pot and you felt bad about it afterwards  dont worry  weve got you covered  fullresponsibility me,0
40,40,do my parents realize i could be out doing drugs being a hoe but nope im terrible bc i leave cups in my room,0
41,41,jesus  the get out sequel looks fucking terrifying,1
42,42,2  im a bad bitch you cant kill me,1
43,43,papaya has to be the worst fruit ever,0
44,44,oh my god my dad is so fucking annoying oh my fuckkkk,1
45,45,he is a fucking idiot  i swear,1
46,46,i wish i still had emilys number so i could text her std infested hoe ass that i hate her every morning at 8 00 am  id do that for life,1
47,47,this is one ass extended april fools i pray someone just says its a bad joke,1
48,48, it is said that francis was a frail dwarf with undescended testicles  darnley i fucking hate you  stupid bastard,1
49,49,pass the fucking vodka margaret im losing my mind ,1
50,50,btw i watched where you watched my pov on stream and boii do i feel retarded,0
51,51,dear eyelash in my eye  you had one fucking job   ,1
52,52,i hate yo ass for thisbut you already know yea,1
53,53,disgusting  insulting  parks are not a charity  give them a fucking budget  asshole ,1
54,54,islamic state says u s  being run by an idiot,1
55,55,bad bitches dont take days off,1
56,56,every bird turd is talking  children of god  or our bros  sisters  to push evil policy russia got f…,0
57,57,dont you hate people that put salt on their bag of dicks before even trying them ,1
58,58,niggas dont lie  our ugly friend put up a pic we just gon write  nigga u ugly  under it,1
59,59,va niggas got they 574s in a bunch after watching that rico nasty interview,1
60,60,nasty twink gets bukkake after fucking,1
61,61,dont sleep with me  then dont speak with me  and never talk bad bout niggas that eat with me,1
62,62,kiss my yoga pants and worship my ass you stingy pathetic subs  oh wait  you cant  just lick the screen then …,1
63,63,grassley is a damn liar saying everything for the stupid supporters  repubs all gullible…,1
64,64,her  you must be retarded if you think we fucking me ,1
65,65,person telling me  its me  the sugar in your tea  are u actually fucking mad   ,1
66,66,bruh i fucking hate people like this ,1
67,67,unfollowing  bad bitches  on ig just to follow some jiggy ass asians,1
68,68,are u still rocking with that team btw nani is fucking sick i tried him,1
69,69,this horse faced ugly mother fucker needs to be exposed and made viral asap  and share  post on facebook and dro…,1
70,70,if you see a kid thats an idiot follow him home    chances are his parents are idiots too   ,1
71,71,baltimore hottie has a bad boy she fucks on cam,1
72,72,shemales whorish getting nasty,1
73,73,jesus  the get out sequel looks fucking terrifying,1
74,74,im really fucking sick of watching the republican party be rewarded for flagrantly degrading our democracy ,1
75,75,systems that dont allow you to change your email address    what the hell are you doing  were you built by idiots ,1
76,76,holy crap   the biggest assclown of a mayor on pulling race card   get his ass outta office   ,1
77,77,i repeat    what the bloody hell is happening  ,1
78,78,im so fucking sick of seeing this damn tweet ,1
79,79,i just threw my fucking phone      ,1
80,80,im a nasty ass freak when i like you  ,1
81,81,bitch this gif has me fucking rolling   yall see that piece of chicken flying  ,1
82,82,just another dumbass bronco fan swear i hate this fanbase dawg ,1
83,83,jesus  the get out sequel looks fucking terrifying,1
84,84,damn   all my mama say is  you not too sick to be on that damn phone ,1
85,85,looking like the bad ass bitch that she is ,1
86,86,in case u guys had a painful day like mine  heres chanyeol asking to hold baekhyuns hand bcs why the hell not  htt…,1
87,87, opened 5 min ago  is so fuckin annoying  a dinny send messages for the ged of ma health a send them for a fuckin reply,1
88,88,dick tracy meets gruesome   the 2017 re boot,0
89,89,fucks sake go away stupid anon — ^,1
90,90,thats fucking sick where did u get the xb1 controller looks,1
91,91,we used this as our base for the fruit of the spirit tree we created in another craft time   ,0
92,92,can someone sum this up before i call this guy retarded,1
93,93,reason why these bitches secretly hate me,1
94,94,this ugly as hell shordy hope u realize this aint it,1
95,95,squidwards a fucking philosopher ,1
96,96,yall really be fucking w  dudes who hate yall huh  ,1
97,97,what idiot called them antacids and not afterburners,1
98,98,damn   all my mama say is  you not too sick to be on that damn phone ,0
99,99,i swear every person that voted for tru is a fucking moron  ,1
100,100,stupid bitches ,1
101,101,hey wassup u bad energy spreading motherfucker,1
102,102,lets fucking gooooooooooooooooooooooooo                               ,1
103,103,heres a not so unpopular opinion is a fucking moron,1
104,104,im sick too  sick of these hoes ,1
105,105,youre an idiot cause i dont care what youre talking about ,1
106,106,yooooo vans got these sick ass velvet oxblood slip onnnnssssss ,1
107,107,are you fucking stupid dude ,1
108,108,that beer buying freaking idiot thinks trump leaked it to nail rice  are you kidding  and sacrifice flynn  mud is appropo,1
109,109,hey  shitheads  youre not going to get away with another stupid war  this time  the goyim know ,1
110,110,bout to get butt fucked    ,1
111,111,eat 2 bananas a day and you won’t believe what it’ll change  crazy ,0
112,112,that fucking teaser tho ahhhhhh   ,1
113,113,i will go to bat for you    what the hell is wrong with people   also ily,1
114,114,you fucked up when you lied to me   ,1
115,115,i sampled jaws pull up with the pistol make a nigga look so dam sick like he seen a bitch with 3 titts,1
116,116,he said he aint gonna be here for another 45 fucking minutes    ,1
117,117,you know what happens to people that trust a pathological liar  they get fucked over  repeatedly ,1
118,118,police holds me  anoda police ask  officer weytin him do  he replies d idiot pis for here  d oda says hold d idiot mak…,1
119,119,niggas hate when you do them how they do you  ,1
120,120,  lmfaoooooooooooooooo pathetic ass bitches,1
121,121,serial killer   move and i will fucking kill you   me ,1
122,122,shut yo stupid ass up  nobody ask for yo fucking comment,1
123,123,bitches dont know if they wanna be your friend or hate on you ,1
124,124,i wanna be fucked   go to the link ,1
125,125,eat 2 bananas a day and you won’t believe what it’ll change  crazy ,0
126,126,lmfao must suck being from hemet and never seeing a real bad bitch walk in ya city unless its on the internet ,1
127,127,i hate them hoe ass braids ,1
128,128,theres a tumblr post about how fucking bad the production was on the show and it made me cry laughing i have to find it,1
129,129,girl friend was so fucked up after the party that i could do anything  ,1
130,130,i hate bitches that dont know how to mind they business,1
131,131,does  youre fucking annoying  count ,1
132,132,you are one dumbshit ignorant idiot ,1
133,133,if you litter youre a bitch i hate you,1
134,134,when a nigerian calls you idiot you feel it in your liver i swear,1
135,135, yk them hoes ugly sis  ,1
136,136,i was ugly as hell a couple years ago,1
137,137,dont take out the anger of being a hairless nigga on us    ,1
138,138,i fucking hate matthew,1
139,139,bitches be so press for friends its embarrassing  dat look so bad,1
140,140,bloody splicers sealed johnny in before they    goddamn splicers ,1
141,141,we miss yo ugly sid the the sloth   dur yes dur saying ass too,1
142,142,i dont even know the kid i want justice brought to him by the idiot who shot him ,1
143,143,i wanna be fucked   im there ,1
144,144,people are fucking yucky and horrible ,1
145,145,is this a fucking april fools joke     dont fuck with my bro  ,1
146,146,hopefully all fathers and mothers tell they daughghters ben dover and his friends are evil cunts,1
147,147,i just want a friend that will hype me up  even though we both know damn well i look ugly af ,0
148,148,fuck yes stream    please nioh  nier  and bloodborne streams    these…,1
149,149,up at 2am  still sick  dr  pissing me off  ugh its almost spring break  i just wanna be well whine sniffle cough cry ,0
150,150,coming from a soldier  this is pathetic  i dont give a fuck who you voted for  what happened to united we stand  g…,1
151,151,sis    im fuckin sick  im done with it  its 11 now,1
152,152,i fucking hate rabbits but this is inhumane,1
153,153,i dont know what to say     i have fucking goosebumps    ,1
154,154,oh my god    roscoe just farted it smells so fucking bad,1
155,155,something is deeply wrong with him  that and the lying  scare the hell out of me  ,0
156,156,dangers                           alls yous are                         shit microbes worms                      …,1
157,157,fuck you and die  an oral history of something awful,1
158,158,take yo ugly ass energy somewhere else,1
159,159,go fuck yourself  you cant whine about the dreadful consequences of something as you vote for it …,1
160,160,thank you for at leadt trying to check 1 viewpoint war footage boner  bad form dude ,0
161,161,hate watching an interview i hear  like  a fucking million times,1
162,162,if you hate kim kardashian ill just assume youre a hating ass bitch,1
163,163,if you block a bitch she still know whats on your page then she miserable af ,1
164,164,dont let idiots ruin your day ,1
165,165,i walk around my school untouchable all the bitches that dont like me just sit around and hate ,1
166,166,anyone walking slower than me is a fuckin idiot  anyone waking faster than me is also a fuckin idiot  just walk fuckin g…,1
167,167,sad to see sasha gone  but she went out her way  to bad she didnt get to bite the ass hole negan  ,1
168,168,this is so fucking ugly,1
169,169,court and duncan are fucking miserable tonight,1
170,170,lesson of the day  fight salty ass hate with poems ,0
171,171,what a fucking child ,1
172,172,and idiots spend $8 99 for a bag of skittles ,1
173,173,the ic belt is on the fucking kick off show what the fuck aa            what the fuckkkkkkkkkkkkkk,1
174,174,the trump crime family is taking over our country and im really fucking sick of it ,1
175,175,yang susah itu yang disini  dada;hati   that ugly feeling can stay for who knows how damn long  melbourne,0
176,176,one thing i hate about spring summer is the bloody birds waking me up at 6am  its like world war 3 out there,1
177,177,my fucking god dont die   backflips like a cruiserweight in his prime at 47   ,1
178,178,im moving to texas  its some bad bitches out there ,1
179,179,this yes what is wrong with u people omg nasty as hell,1
180,180,damn westbrook beating him so bad in the mvp race he had to start drinking before games,1
181,181,why praise can be bad for kids   abc news   via,0
182,182,someone told me they didnt like owls   how fucking dare your face ever make sounds into words that are so terrible you…,1
183,183,got a backyard flock  wash hands after handling birds so you don’t get sick ,0
184,184,thats what u fucking get for pushing that dog         ,1
185,185,theres a difference between marketing and being fucking annoying,1
186,186,greaaaat my mom keeps on bursting into my room which i locked to keep on talking to me piss off idiot,1
187,187,i wait patiently to see my lover kill some bad bitches ️,1
188,188,im letting u know now  we not protesting when the laws shoot yo ass for this stupid phone case ,1
189,189,busty nasty bitch like to be fucked anal,1
190,190,some idiots of my country think and this regime is working to bring uniform civil code  let them bring uniform be…,1
191,191,he would not have won if the dnc knew what the hell they were doing  its too bad if saying that hurts feelings  but trumps gotta go,1
192,192, namjoon is ugly   bitch where   ,1
193,193,i wanna be fucked   go to the link ,1
194,194,yo im going to fucking disneyland  someone call my mom and tell her im not coming home again,1
195,195,i hate when a song reminds me of someone i give 0 fucks about,1
196,196,all they care about on twitter tumblr is fucking shipping and they hate everyone that doesnt ship their ooc pairings,1
197,197, you see we should have traded letang  hes always hurt    idiots,1
198,198,i got no ass or titties but im still bad so wassup,1
199,199,wtf     just got juicy omg she fuckin with her boss husband ,1
200,200,im so emo abt nuest i fuckin hate pledis for doing this to them,0
201,201,even though we all know how fake tom and luann are  it’s really sickening seeing ramona so hell bent on ruining it ,1
202,202,i hate when people get up here and tell what happening on a tv show or movie    shut yo ass up ,1
203,203,if cats looked like frogs we’d realize what nasty  cruel little bastards they are  style  that’s what people remember ,1
204,204,whats happening in syria is disgusting  but never gave 2 shits about the issue until no…,0
205,205,at least outline the plot and shiz for when you have time    your audience needs you ,1
206,206,i wanna be fucked   meet me here,1
207,207,but lets talk about that sick ass table,1
208,208,hella is from the bay    and majority of la bitches hate on the word hella ,1
209,209,oh  yes he is a bad guy  its so damn sickening,1
210,210,there this idiot of cosas speaking  i think hate speech will come out of his speech if he doesnt stop ,1
211,211,im baffled and disgusted  who raised these bitches mann ,1
212,212,hail fucking state   ,0
213,213,in 1 5 weeks ill leave gainesville forever and i get my mfn degree in august      hell yessssssss,1
214,214,bitches be like my   nigga   crazy nah he crazy with you he pussy to us   ,1
215,215,bullying people is so lame terrible  its 2017 have you people not noticed that its a fucked up thing to do           …,1
216,216,cant believe i got fucking pranked         again         fucking darn      ,1
217,217,its not tht i hate the place even tho i dont like it but i hate the ppl who havent done anything to the bullshit tht happened ,1
218,218,schumer filibuster of gorsuch is idiotic   lunch alert ,1
219,219,im really fucking sick of watching the republican party be rewarded for flagrantly degrading our democracy ,1
220,220,nasty ass eating food,1
221,221,gotta tell ya alex  all your lil bluster in the news today w  your defense of the retarded orangutan   u…,1
222,222,these fucking butn scars on my chest is so ugly  i cant even wear a shirt without having it zipped all the way up or a scarf on ,1
223,223,fucking my boyfriend while hubby films  ,1
224,224,i hate being ignored  i look like an idiot trying to get your attention ,1
225,225,mfs be having me fucked up alll the time  ,1
226,226,thats an ugly ass house to be paying $5mil for,1
227,227,you know when youre fucking stupid and get one question in math correct and think ur albert fucking einstein because me t…,1
228,228,with her ugly ass emojis lmfaooo ,1
229,229,jesus  the get out sequel looks fucking terrifying,0
230,230,[  ] winner trending on melon search at ,1
231,231,when a bitch hate you   she gone wanna make everybody hate you too ,0
232,232,[  ] winner trending on melon search at ,1
233,233,hate wanting to do something but not knowing how to fucking do it,1
234,234,them people who mad and act like they dont know why you cut the ass off   ,1
235,235,watching this annoying ass man makes me want to never eat another pizza       tlc,0
236,236,[melon] jumped 42 places to artist in melon,1
237,237,you put on one hell of a fucking show  man  it exceeded the hype  congratulations ,1
238,238,just block him      hes fucking dreadful ,0
239,239,[info] 170403 jinyoung spotted at han river with gagman lee seungyoon  체리,1
240,240,what idiot named them jet skis instead of boatercycles,1
241,241,its always the filthy bitch that comes in the picture   ,1
242,242,fucking lit      ,1
243,243,i wanna be fucked   im there ,0
244,244,i worry about this all of the time  if the nazis turn away from him it might not be as bad as i fear it will be …,1
245,245,ugly bitches arent getting put in videos  get over it,1
246,246,what a fucking terrible image,1
247,247,niggas worst than your side bitch always questioning they position,1
248,248,you can say im not or whatever but i feel so fucking ugly,1
249,249,that shit fire boyyyyyyy      ,1
250,250,who will be the 1st rep to find some guts and stand up to the idiot in the wh ,1
251,251,im so sunburnt i could b mistaken for a man who had forgotten sunblock thats not what i am  im just an idiot and did…,1
